observation_date,CBBTCUSD
2024-12-03,98746.24
2024-12-04,97044.23
2024-12-05,99891.35
2024-12-06,99929.32
2024-12-07,101174.99
2024-12-08,97324.81
2024-12-09,96660.76
2024-12-10,101202.11
2024-12-11,100030.47
2024-12-12,101428.75
2024-12-13,101399.99
2024-12-14,104447.76
2024-12-15,106099.81
2024-12-16,106136.99
2024-12-17,100150.73
2024-12-18,97372.21
2024-12-19,97765.00
2024-12-20,97230.08
2024-12-21,95087.75
2024-12-22,94764.56
2024-12-23,98594.47
2024-12-24,99346.28
2024-12-25,95669.49
2024-12-26,95745.30
